"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"São Sebastião";270880;"AL";16082;11729;4340;34290;34,2;12,7
"Itapuranga";521120;"GO";15224;11975;3249;25681;46,6;12,7
"Ituporanga";420850;"SC";14572;10498;3228;25355;41,4;12,7
"Wenceslau Braz";412850;"PR";11172;8443;2456;19386;43,6;12,7
"Água Branca";220020;"PI";9456;7102;2217;17470;40,7;12,7
"Cafarnaum";290530;"BA";9084;6538;2347;18513;35,3;12,7
"Cândido De Abreu";410440;"PR";8340;6351;1880;14809;42,9;12,7
"Araruna";410170;"PR";8289;6260;1776;14000;44,7;12,7
"Uruana";522170;"GO";7967;6136;1751;13818;44,4;12,7
"Turvo";412796;"PR";7947;6009;1665;13095;45,9;12,7
"Ribeirão Bonito";354290;"SP";7614;5496;1695;13299;41,3;12,7
"Taperoá";251650;"PB";7211;5177;1957;15441;33,5;12,7
"Serrolândia";293060;"BA";6700;4821;1711;13446;35,9;12,7
"Urubici";421890;"SC";6561;4848;1430;11273;43;12,7
"Balneário Gaivota";420207;"SC";6254;4766;1425;11260;42,3;12,7
"Itiruçu";291690;"BA";6136;4394;1594;12528;35,1;12,7
"Paulista";251090;"PB";5965;4283;1572;12379;34,6;12,7
"Pescaria Brava";421265;"SC";5894;4415;1288;10159;43,5;12,7
"Alfredo Wagner";420070;"SC";5555;4016;1281;10086;39,8;12,7
"Florânia";240380;"RN";4976;3680;1161;9111;40,4;12,7
"Carnaúba Dos Dantas";240240;"RN";4433;3090;1044;8239;37,5;12,7
"Abadia Dos Dourados";310010;"MG";4234;3296;888;7006;47;12,7
"Sabáudia";412270;"PR";4219;3188;873;6891;46,3;12,7
"Porto Alegre Do Norte";510677;"MT";4134;2442;1615;12685;19,3;12,7
"Inimutaba";313110;"MG";3834;2829;958;7560;37,4;12,7
"Cubati";250500;"PB";3648;2580;993;7832;32,9;12,7
"Braganey";410335;"PR";3143;2383;681;5382;44,3;12,7
"Caldas Brandão";250380;"PB";3073;2205;768;6046;36,5;12,7
"Vale Do Paraíso";110180;"RO";2916;2070;846;6656;31,1;12,7
"Santa Rita Do Itueto";315950;"MG";2701;2010;691;5457;36,8;12,7
"Maçambará";431171;"RS";2592;1881;581;4562;41,2;12,7
"Conselheiro Mairinck";410610;"PR";2343;1810;491;3876;46,7;12,7
"Passos Maia";421227;"SC";2261;1741;520;4109;42,4;12,7
"Coivaras";220273;"PI";2201;1638;513;4032;40,6;12,7
"Sossêgo";251615;"PB";1718;1199;457;3594;33,4;12,7
"Vale De São Domingos";510835;"MT";1558;1101;397;3126;35,2;12,7
"Pindoba";270700;"AL";1388;918;368;2905;31,6;12,7
"Marzagão";521290;"GO";1374;1074;285;2250;47,7;12,7
"Mogi Guaçu";353070;"SP";88581;64900;19263;153033;42,4;12,6
"Araras";350330;"SP";84268;59922;17049;135506;44,2;12,6
"Araruama";330020;"RJ";51697;34781;16916;134293;25,9;12,6
"Viçosa";317130;"MG";44483;33999;9972;79388;42,8;12,6
"Cataguases";311530;"MG";37622;27573;9555;75540;36,5;12,6
"Tucano";293190;"BA";25804;18808;6412;50798;37;12,6
"Morrinhos";521380;"GO";24811;18966;5845;46548;40,7;12,6
"Andradas";310260;"MG";22197;16599;5228;41396;40,1;12,6
"Casimiro De Abreu";330130;"RJ";21478;15442;5688;45041;34,3;12,6
"São João Dos Patos";211110;"MA";18996;15479;3286;25996;59,5;12,6
"Pinheiros";320410;"ES";14830;10666;3447;27327;39;12,6
"Orleans";421170;"SC";14733;11050;2909;23038;48;12,6
"Jaciara";510480;"MT";14236;10505;3531;27921;37,6;12,6
"São Miguel";241250;"RN";13017;9909;2975;23655;41,9;12,6
"Piúma";320420;"ES";12793;9292;2769;22053;42,1;12,6
"Turmalina";316970;"MG";12596;9366;2528;20125;46,5;12,6
"Nova Soure";292290;"BA";11639;8017;3405;26998;29,7;12,6
"Colorado";410590;"PR";11445;8228;3035;24142;34,1;12,6
"Oliveira Dos Brejinhos";292320;"BA";11325;8488;2740;21810;38,9;12,6
"Pedro Do Rosário";210825;"MA";11315;7949;3200;25354;31,4;12,6
"Piritiba";292480;"BA";11066;7918;3148;24964;31,7;12,6
"Nazaré Paulista";353240;"SP";10932;8255;2357;18698;44,1;12,6
"Ibipeba";291240;"BA";9978;7645;2304;18319;41,7;12,6
"Ribeirópolis";280600;"SE";9751;7191;2364;18773;38,3;12,6
"São Gabriel";292925;"BA";9611;7237;2374;18789;38,5;12,6
"Adustina";290035;"BA";9169;6841;2163;17126;39,9;12,6
"Milagres";230830;"CE";9110;5650;3460;27462;20,6;12,6
"Estrela De Alagoas";270255;"AL";8628;5886;2308;18255;32,2;12,6
"Vila Valério";320517;"ES";8479;6216;1778;14073;44,2;12,6
"Gonçalves Dias";210440;"MA";8244;5820;2260;17944;32,4;12,6
"Mineiros Do Tietê";352980;"SP";7669;5673;1640;12966;43,8;12,6
"Nova Canaã";292270;"BA";7161;4991;2079;16472;30,3;12,6
"Alto Longá";220030;"PI";6613;4733;1809;14339;33;12,6
"Presidente Juscelino";210920;"MA";6422;4774;1613;12838;37,2;12,6
"Hidrolândia";230520;"CE";6005;3478;2527;20053;17,3;12,6
"Centralina";311580;"MG";5262;3934;1306;10346;38;12,6
"Cristina";312050;"MG";5260;3970;1290;10226;38,8;12,6
"Governador Jorge Teixeira";110100;"RO";4781;3667;935;7445;49,3;12,6
"Cambira";410380;"PR";4697;3561;999;7917;45;12,6
"Antônio Olinto";410130;"PR";4691;3571;935;7427;48,1;12,6
"Riacho Dos Cavalos";251280;"PB";4604;3378;1077;8541;39,6;12,6
"Luiziana";411373;"PR";4313;3328;912;7240;46;12,6
"Dores Do Rio Preto";320200;"ES";3948;2959;855;6771;43,7;12,6
"Groaíras";230490;"CE";3815;2406;1409;11144;21,6;12,6
"Alto Horizonte";520055;"GO";3205;2374;831;6605;35,9;12,6
"Planalto";353960;"SP";3119;2194;666;5304;41,4;12,6
"São José Do Seridó";241240;"RN";3029;2371;587;4665;50,8;12,6
"Novorizonte";314537;"MG";2751;2078;669;5324;39;12,6
"Sítio Novo";241370;"RN";2707;1990;702;5561;35,8;12,6
"Nantes";353215;"SP";2495;2015;400;3179;63,4;12,6
"Bernardo Sayão";170320;"TO";2304;1476;559;4448;33,2;12,6
"Cumbe";280190;"SE";2233;1687;504;3998;42,2;12,6
"União De Minas";317043;"MG";2164;1616;538;4284;37,7;12,6
"Pedra Dourada";314900;"MG";1394;1060;320;2532;41,9;12,6
"Riacho De Santo Antônio";251278;"PB";968;684;249;1974;34,7;12,6
"São Sebastião Do Rio Verde";316490;"MG";943;660;283;2250;29,3;12,6
"São João De Meriti";330510;"RJ";190973;131456;59318;472906;27,8;12,5
"Alvorada";430060;"RS";113791;83308;26505;211352;39,4;12,5
"Ouro Preto";314610;"MG";42897;32452;9345;74558;43,5;12,5
"Congonhas";311800;"MG";27767;20417;6937;55309;36,9;12,5
"Presidente Epitácio";354130;"SP";26141;19741;5547;44389;44,5;12,5
"Poções";292510;"BA";22660;16796;5864;46879;35,8;12,5
"Ibaiti";410970;"PR";19544;15272;3934;31581;48,4;12,5
"Triunfo";432200;"RS";16201;11965;3727;29856;40,1;12,5
"Ladário";500520;"MS";16127;9196;2957;23689;38,8;12,5
"Brotas";350790;"SP";14911;10979;3074;24636;44,6;12,5
"Apiaí";350270;"SP";14788;10916;3034;24226;45,1;12,5
"Bambuí";310510;"MG";10772;7728;2979;23898;32,3;12,5
"Caraí";311300;"MG";10018;7035;2972;23780;29,6;12,5
"Bela Vista Do Paraíso";410280;"PR";8848;6842;1926;15399;44,4;12,5
"Salinas Da Margarida";292730;"BA";8792;6817;1975;15862;43;12,5
"Itanhandu";313310;"MG";7725;5675;1932;15423;36,8;12,5
"Irauçuba";230610;"CE";7597;4550;3047;24305;18,7;12,5
"Maria Da Fé";313990;"MG";7490;5478;1764;14056;39;12,5
"Carlópolis";410470;"PR";7465;5634;1796;14356;39,2;12,5
"Tavares";251660;"PB";6965;4964;1838;14759;33,6;12,5
"Guaraniaçu";410930;"PR";6947;5365;1524;12217;43,9;12,5
"Ielmo Marinho";240460;"RN";6603;4826;1740;13901;34,7;12,5
"Mara Rosa";521280;"GO";5475;4235;1174;9363;45,2;12,5
"Montes Claros De Goiás";521370;"GO";4711;3646;1005;8047;45,3;12,5
"Moema";314240;"MG";4479;3412;948;7554;45,2;12,5
"Sanclerlândia";521900;"GO";4423;3467;956;7632;45,4;12,5
"Cristalândia";170610;"TO";4256;3222;912;7278;44,3;12,5
"Floresta";410790;"PR";4249;3316;853;6851;48,4;12,5
"Botuporã";290420;"BA";4204;2918;1266;10129;28,8;12,5
"Belém Do Brejo Do Cruz";250200;"PB";4171;3239;921;7349;44,1;12,5
"Galiléia";312730;"MG";3911;3048;847;6790;44,9;12,5
"Brejinho";260250;"PE";3792;2788;933;7488;37,2;12,5
"Angical Do Piauí";220060;"PI";3712;2784;847;6783;41;12,5
"Jacareacanga";150375;"PA";3436;2484;952;7590;32,7;12,5
"Ouro Verde Do Oeste";411745;"PR";3286;2488;753;6016;41,4;12,5
"Pilões";251160;"PB";3210;2310;822;6576;35,1;12,5
"Agronômica";420030;"SC";3196;2276;687;5509;41,3;12,5
"Santa Ernestina";354650;"SP";3170;2385;700;5588;42,7;12,5
"Marabá Paulista";352870;"SP";3154;2377;742;5948;40;12,5
"Massapê Do Piauí";220605;"PI";2896;2058;804;6449;31,9;12,5
"Honório Serpa";410965;"PR";2842;2149;638;5119;42;12,5
"Parazinho";240880;"RN";2646;1949;657;5272;37;12,5
"Catingueira";250420;"PB";2392;1695;617;4935;34,3;12,5
"Lagoa Do Piauí";220558;"PI";2220;1685;511;4075;41,3;12,5
"São Valério";172049;"TO";2093;1504;488;3904;38,5;12,5
"Campo Bonito";410405;"PR";2051;1524;472;3763;40,5;12,5
"Israelândia";521030;"GO";1596;1192;348;2786;42,8;12,5
"Indiavaí";510450;"MT";1546;1171;347;2779;42,1;12,5
"Tamboril Do Piauí";221095;"PI";1317;942;365;2929;32,2;12,5
"Arapongas";410150;"PR";75256;58768;15474;124810;47,1;12,4
"Itajubá";313240;"MG";47510;35191;12095;97334;36,2;12,4
"Tietê";355450;"SP";24276;18005;5261;42517;42,3;12,4
"Jacarezinho";411180;"PR";23821;18578;4889;39322;47,2;12,4
"Marau";431180;"RS";23090;17159;5569;44858;38,3;12,4
"João Pinheiro";313630;"MG";22718;16808;5910;47726;35,2;12,4
"Jeremoabo";291810;"BA";22148;17120;5023;40651;42,1;12,4
"Portão";431480;"RS";21455;15921;4667;37624;42,3;12,4
"Porto União";421360;"SC";21083;16033;4418;35543;45,1;12,4
"Juína";510515;"MT";20509;14786;5106;41088;36;12,4
"Igarapava";352010;"SP";17113;12331;3788;30614;40,3;12,4
"Laranjal Paulista";352640;"SP";16443;12095;3560;28785;42;12,4
"São Benedito";231230;"CE";14227;8245;5982;48131;17,1;12,4
"Jequitinhonha";313580;"MG";12273;9126;3147;25474;35,8;12,4
"Guapiaçu";351750;"SP";11888;9177;2690;21775;42,1;12,4
"Jaguaruna";420880;"SC";10731;7908;2518;20288;39;12,4
"Medeiros Neto";292110;"BA";10015;7084;2811;22716;31,2;12,4
"Pio Xii";210870;"MA";9701;6983;2641;21379;32,7;12,4
"Matelândia";411560;"PR";9692;6810;2246;18107;37,6;12,4
"Terra Boa";412720;"PR";9335;7083;2127;17200;41,2;12,4
"Caririaçu";230320;"CE";9254;5913;3341;26987;21,9;12,4
"Capitão Leônidas Marques";410460;"PR";8963;6645;1963;15834;42;12,4
"Lagoa Da Canoa";270410;"AL";8875;6663;2212;17771;37,5;12,4
"Poté";315240;"MG";8312;6231;2062;16616;37,5;12,4
"Arinos";310450;"MG";7791;5522;2222;17862;30,9;12,4
"Jataizinho";411270;"PR";7606;5626;1567;12638;44,5;12,4
"Mallet";411390;"PR";7097;5083;1694;13663;37,2;12,4
"Cardoso Moreira";330115;"RJ";6174;4494;1595;12821;35,1;12,4
"Poção";261120;"PE";5795;4307;1401;11305;38,1;12,4
"Bonfinópolis";520355;"GO";5535;4161;1230;9919;41,9;12,4
"Carnaubais";240250;"RN";4746;3389;1351;10867;31,2;12,4
"Serra Dos Aimorés";316670;"MG";4650;3545;1079;8713;40,7;12,4
"Bom Sucesso";410320;"PR";3871;2957;873;7068;41,8;12,4
"Antônio Martins";240090;"RN";3607;2691;890;7154;37,6;12,4
"Cocal Dos Alves";220272;"PI";3159;2302;767;6168;37,3;12,4
"Presidente Castelo Branco";412040;"PR";3125;2309;662;5351;43,2;12,4
"Guzolândia";351890;"SP";3046;2198;660;5307;41,4;12,4
"Coqueiro Seco";270220;"AL";2668;1940;728;5864;33,1;12,4
"Gastão Vidigal";351680;"SP";2612;1829;602;4860;37,6;12,4
"Jaborá";420860;"SC";2592;1978;487;3918;50,5;12,4
"Messias Targino";240760;"RN";2547;1896;576;4634;40,9;12,4
"Francinópolis";220400;"PI";2538;1858;662;5347;34,7;12,4
"Riachão Do Bacamarte";251275;"PB";2466;1853;562;4541;40,8;12,4
"Benedito Leite";210180;"MA";2413;1714;699;5638;30,4;12,4
"Ibiracatu";312965;"MG";2354;1686;668;5369;31,4;12,4
"Itaguajé";411090;"PR";2317;1729;551;4446;38,9;12,4
"Barra Do Quaraí";430187;"RS";2257;1694;523;4227;40,1;12,4
"Coronel José Dias";220285;"PI";1858;1245;583;4685;26,6;12,4
"Caiçara Do Rio Do Vento";240190;"RN";1846;1343;461;3715;36,2;12,4
"Arapiraca";270030;"AL";114639;82472;28561;233047;35,4;12,3
"Itapeva";352240;"SP";53935;39048;11691;94804;41,2;12,3
"Saquarema";330550;"RJ";42643;31475;11167;90583;34,7;12,3
"Cachoeiras De Macacu";330080;"RJ";25706;17935;7293;59303;30,2;12,3
"Remanso";292600;"BA";20825;15744;5081;41170;38,2;12,3
"Visconde Do Rio Branco";317200;"MG";20138;14870;5268;42965;34,6;12,3
"Araçuaí";310340;"MG";16585;11791;4533;36712;32,1;12,3
"Piumhi";315150;"MG";15628;11319;4309;34918;32,4;12,3
"Faxinal";410760;"PR";10178;7521;2137;17316;43,4;12,3
"Seara";421750;"SC";10074;7324;2156;17576;41,7;12,3
"Jaboticatubas";313460;"MG";9333;6818;2515;20418;33,4;12,3
"Clevelândia";410570;"PR";9044;6695;2017;16450;40,7;12,3
"Conceição Do Mato Dentro";311750;"MG";8990;6739;2183;17773;37,9;12,3
"Urucará";130430;"AM";7893;5901;1992;16130;36,6;12,3
"Correia Pinto";420455;"SC";7663;5911;1539;12553;47,1;12,3
"Jupi";260830;"PE";7449;5537;1830;14922;37,1;12,3
"Caetanos";290515;"BA";6189;4298;1799;14608;29,4;12,3
"Aragoiânia";520180;"GO";6006;4648;1288;10496;44,3;12,3
"Brejão";260240;"PE";5862;4665;1109;8987;51,9;12,3
"Curimatá";220320;"PI";5806;4207;1408;11426;36,8;12,3
"Salto Grande";354540;"SP";5542;4278;1155;9364;45,7;12,3
"Moreilândia";261430;"PE";5430;3957;1390;11270;35,1;12,3
"Santana Do Mundaú";270810;"AL";5386;3987;1314;10687;37,3;12,3
"Acari";240010;"RN";5320;3867;1368;11121;34,8;12,3
"São Geraldo";316150;"MG";5256;3713;1543;12562;29,6;12,3
"Itainópolis";220500;"PI";5085;3604;1421;11551;31,2;12,3
"Clementina";351190;"SP";4972;3606;1080;8757;41,2;12,3
"Tuneiras Do Oeste";412790;"PR";4967;3769;1053;8533;44,2;12,3
"Divisópolis";312245;"MG";4913;3499;1382;11211;31,2;12,3
"Cachoeira De Pajeú";310270;"MG";4439;3214;1157;9442;34;12,3
"Rio Do Campo";421450;"SC";3635;2722;728;5902;46,1;12,3
"Guapirama";410900;"PR";2410;1896;464;3784;50,1;12,3
"Altair";350090;"SP";2198;1646;516;4186;39,3;12,3
"Estrela Do Norte";520750;"GO";1969;1544;400;3264;47,3;12,3
"Indaiatuba";352050;"SP";146479;107356;31284;256223;41,9;12,2
"Caraguatatuba";351050;"SP";74678;55702;15098;123389;45,1;12,2
"Itatiba";352340;"SP";72958;52955;15003;122581;43,2;12,2
"Francisco Beltrão";410840;"PR";54176;41188;11244;92216;44,7;12,2
"Rio Do Sul";421480;"SC";34786;25155;8779;72006;34,9;12,2
"Mairinque";352840;"SP";27539;20819;5782;47441;43,9;12,2
"Campina Grande Do Sul";410400;"PR";24767;18393;5351;43685;42,1;12,2
"Jaguariúna";352470;"SP";21897;14717;7180;58722;25,1;12,2
"Santa Helena De Goiás";521930;"GO";20972;15993;4733;38808;41,2;12,2
"Pedro Ii";220790;"PI";19200;13939;4739;38778;35,9;12,2
"Curuçá";150290;"PA";16071;10418;4955;40584;25,7;12,2
"Herval D'Oeste";420670;"SC";12822;9382;2766;22714;41,3;12,2
"Anicuns";520130;"GO";11434;8747;2682;21981;39,8;12,2
"Pinhalzinho";421290;"SC";11409;8240;2519;20712;39,8;12,2
"Campestre";311100;"MG";8922;6345;2577;21054;30,1;12,2
"Anadia";270020;"AL";8594;6339;2141;17526;36,2;12,2
"Cantá";140017;"RR";8200;5857;2298;18799;31,2;12,2
"Peçanha";314860;"MG";8065;5923;2142;17537;33,8;12,2
"Andorinha";290135;"BA";7674;5745;1767;14503;39,6;12,2
"Querência Do Norte";412100;"PR";7467;5841;1487;12232;47,8;12,2
"Barracão";410260;"PR";6476;5019;1254;10312;48,7;12,2
"Puxinanã";251240;"PB";6254;4371;1672;13741;31,8;12,2
"Urupá";110170;"RO";5952;4302;1380;11272;38,2;12,2
"Alvorada Do Sul";410080;"PR";5693;4272;1400;11503;37,1;12,2
"Bonito De Santa Fé";250240;"PB";5165;3507;1463;12022;29,2;12,2
"Buriti Alegre";520390;"GO";4893;3736;1157;9484;39,4;12,2
"Juarez Távora";250760;"PB";3988;2901;972;7976;36,4;12,2
"Hulha Negra";430965;"RS";3606;2676;832;6836;39,1;12,2
"Formoso";312620;"MG";3585;2390;1185;9688;24,7;12,2
"São Carlos Do Ivaí";412460;"PR";3507;2656;846;6920;38,4;12,2
"Indaiabira";313065;"MG";3163;2265;898;7339;30,9;12,2
"Bandeira Do Sul";310530;"MG";3089;2290;706;5778;39,6;12,2
"Inconfidentes";313060;"MG";3014;2113;901;7358;28,7;12,2
"Inhaúma";313100;"MG";2956;2155;767;6312;34,1;12,2
"Cordilheira Alta";420435;"SC";2847;2171;550;4520;48;12,2
"Berizal";310665;"MG";2815;2196;582;4764;46,1;12,2
"São Sebastião Da Bela Vista";316440;"MG";2761;2076;675;5552;37,4;12,2
"Tarrafas";231325;"CE";2689;1644;1045;8573;19,2;12,2
"Cruzeiro Do Iguaçu";410657;"PR";2347;1811;516;4240;42,7;12,2
"Nova Rosalândia";171500;"TO";2217;1691;526;4304;39,3;12,2
"Lajedinho";291900;"BA";2114;1637;457;3758;43,6;12,2
"Marcos Parente";220600;"PI";2102;1525;554;4547;33,5;12,2
"Medeiros";314130;"MG";2060;1544;466;3832;40,3;12,2
"Rio Branco Do Ivaí";412217;"PR";2056;1544;502;4109;37,6;12,2
"Fronteira Dos Vales";312705;"MG";2042;1485;557;4561;32,6;12,2
"Aurora Do Tocantins";170270;"TO";1920;1408;463;3783;37,2;12,2
"Castelândia";520505;"GO";1910;1466;417;3407;43;12,2
"Santa Cruz Dos Milagres";220915;"PI";1841;1273;493;4033;31,6;12,2
"Bodó";240165;"RN";1256;973;269;2197;44,3;12,2
"Rio Grande";431560;"RS";114362;88034;25737;211965;41,5;12,1
"Penedo";270670;"AL";31950;23733;7704;63846;37,2;12,1
"Guarabira";250630;"PB";29430;21399;7154;59115;36,2;12,1
"Niquelândia";521460;"GO";23986;18330;5656;46730;39,2;12,1
"Almenara";310170;"MG";21137;15664;5081;42143;37,2;12,1
"Santaluz";292800;"BA";18466;13805;4560;37531;36,8;12,1
"João Alfredo";260810;"PE";16391;12136;4124;34075;35,6;12,1
"Ipameri";521010;"GO";15142;11675;3281;27174;43;12,1
"Capão Do Leão";430466;"RS";13860;10466;3073;25409;41,2;12,1
"Barroso";310590;"MG";12496;9623;2535;20897;46;12,1
"Icatu";210510;"MA";11396;7993;3298;27269;29,3;12,1
"Ervália";312400;"MG";9947;7284;2299;18958;38,4;12,1
"Porto Real";330411;"RJ";9865;7423;2412;19974;37,2;12,1
"Carlos Chagas";311370;"MG";9839;7503;2258;18674;40,2;12,1
"Baixa Grande";290260;"BA";9680;7001;2481;20449;34,2;12,1
"Uruçuca";293270;"BA";9542;7030;2467;20413;34,4;12,1
"Cruz";230425;"CE";8524;5497;3020;24977;22;12,1
"Guapó";520920;"GO";7873;6061;1715;14207;42,7;12,1
"Presidente Sarney";210927;"MA";7863;5420;2305;19069;28,4;12,1
"Siderópolis";421760;"SC";7064;5108;1699;14092;36,2;12,1
"Itinga";313400;"MG";7011;5171;1825;15022;34,4;12,1
"Miranorte";171330;"TO";6638;5001;1637;13493;37,1;12,1
"Mirabela";314200;"MG";6594;4848;1646;13620;35,6;12,1
"Bofete";350690;"SP";6571;4751;1440;11921;39,9;12,1
"Patu";240930;"RN";6272;4548;1549;12809;35,5;12,1
"Irani";420780;"SC";5984;4371;1275;10498;41,6;12,1
"Santa Maria Do Oeste";412385;"PR";5511;4218;1143;9410;44,8;12,1
"Paranã";171620;"TO";5334;4073;1261;10437;39;12,1
"Sairé";261200;"PE";4821;3525;1186;9764;36,1;12,1
"Jauru";510500;"MT";4720;3623;1037;8582;42,2;12,1
"Beneditinos";220160;"PI";4355;3030;1265;10473;28,9;12,1
"Barbosa";350510;"SP";4239;3179;905;7468;42,6;12,1
"Mata Verde";314055;"MG";4147;3090;1042;8644;35,7;12,1
"Lajedo Do Tabocal";291905;"BA";3695;2656;1039;8577;31;12,1
"Filadélfia";170770;"TO";3685;2499;1077;8874;28,2;12,1
"Tumiritinga";316950;"MG";3299;2482;817;6765;36,7;12,1
"Solidão";261440;"PE";3289;2506;731;6021;41,6;12,1
"Colônia Do Gurguéia";220275;"PI";3153;2293;788;6516;35,2;12,1
"Pato Bragado";411845;"PR";2771;1982;689;5684;34,9;12,1
"Nossa Senhora Das Graças";411640;"PR";2124;1608;486;4008;40,1;12,1
"Ponto Chique";315213;"MG";1962;1442;520;4283;33,7;12,1
"Ponte Alta Do Norte";421335;"SC";1804;1367;415;3420;40;12,1
"Piraquê";171720;"TO";1591;1224;367;3033;40,4;12,1
"Vista Serrana";250550;"PB";1497;1010;463;3824;26,4;12,1
"Sebastião Barros";221062;"PI";1308;892;416;3451;25,8;12,1
"Ipueiras";170980;"TO";1218;966;248;2052;47,1;12,1
"Teresina";221100;"PI";446383;336312;103871;868075;38,7;12
"Serra";320500;"ES";258594;186853;63126;527240;35,4;12
"São Roque";355060;"SP";49169;37940;11059;92060;41,2;12
"Altamira";150060;"PA";45656;31779;13877;115969;27,4;12
"Biguaçu";420230;"SC";39997;29404;8306;69486;42,3;12
"Arcoverde";260120;"PE";37214;25819;9005;74822;34,5;12
"Araranguá";420140;"SC";35624;27160;8236;68867;39,4;12
"Formiga";312610;"MG";35527;26894;8172;67822;39,7;12
"Piedade";353780;"SP";31107;22548;6663;55542;40,6;12
"Pirapora";315120;"MG";30160;22511;6811;56640;39,7;12
"Brumado";290460;"BA";27751;19648;8103;67335;29,2;12
"Santa Maria De Jetibá";320455;"ES";21161;15639;4928;41015;38,1;12
"Palmeiras De Goiás";521570;"GO";15993;12003;3520;29392;40,8;12
"Piraí";330400;"RJ";14727;11124;3551;29545;37,7;12
"Teodoro Sampaio";355430;"SP";13761;10573;2802;23273;45,4;12
"Canhotinho";260370;"PE";13252;10149;2974;24773;41;12
"Nepomuceno";314460;"MG";11600;8335;3215;26826;31,1;12
"São Miguel Do Araguaia";522020;"GO";11467;8841;2626;21920;40,3;12
"Tracuateua";150803;"PA";11217;7472;3745;31257;23,9;12
"Belém Do São Francisco";260160;"PE";10970;8392;2496;20730;40,5;12
"Inhapim";313090;"MG";10301;7326;2883;24079;30,4;12
"Presidente Getúlio";421400;"SC";9572;6879;2133;17726;38,8;12
"Itarantim";291680;"BA";9159;6784;2375;19843;34,2;12
"Itaú De Minas";313375;"MG";8859;6886;1939;16199;42,5;12
"Itapagipe";313340;"MG";7865;5832;1838;15379;37,9;12
"Bacuri";210130;"MA";7757;5526;2231;18654;29,6;12
"Turvo";421880;"SC";7439;5525;1562;12990;42,5;12
"Guapé";312810;"MG";7095;5370;1705;14258;37,7;12
"Joaquim Távora";411280;"PR";6432;4802;1436;12009;40;12
"Mogeiro";250940;"PB";6417;4622;1594;13261;34,9;12
"Passa E Fica";240910;"RN";6289;4506;1621;13474;33,4;12
"Riolândia";354420;"SP";5984;4246;1526;12689;33,5;12
"Caetanópolis";310990;"MG";5925;4513;1412;11749;38,4;12
"Roseira";354430;"SP";5909;4610;1299;10801;42,7;12
"Massaranduba";250920;"PB";5836;4030;1685;13998;28,8;12
"Rondon";412260;"PR";5582;4151;1157;9622;43,1;12
"Sebastião Laranjeiras";293000;"BA";5534;4149;1385;11512;36;12
"Porto Firme";315230;"MG";5398;4004;1359;11348;35,3;12
"Cedro";260430;"PE";5255;3771;1425;11891;31,7;12
"Nova Glória";521486;"GO";5138;4168;970;8112;51,4;12
"Cristais Paulista";351320;"SP";5051;3804;1048;8718;43,6;12
"Ouro Branco";270610;"AL";5009;3549;1382;11535;30,8;12
"Itapitanga";291660;"BA";4857;3587;1231;10298;34,8;12
"Guadalupe";220450;"PI";4640;3225;1261;10497;30,7;12
"Santa Luzia Do Norte";270790;"AL";4467;3531;882;7320;48,2;12
"Ninheira";314465;"MG";4307;3054;1244;10326;29,6;12
"Pardinho";353610;"SP";4084;3106;784;6508;47,7;12
"Palhano";231000;"CE";4034;2818;1134;9422;29,9;12
"Anhembi";350230;"SP";3986;3010;821;6819;44,1;12
"Governador Luiz Rocha";210462;"MA";3858;2851;939;7841;36,4;12
"Águas De Chapecó";420050;"SC";3729;2733;785;6515;41,9;12
"Ibema";410975;"PR";3330;2455;765;6370;38,5;12
"Monteirópolis";270540;"AL";3184;2322;862;7165;32,4;12
"Santa Filomena";220920;"PI";2743;1924;748;6254;30,8;12
"São José Dos Ramos";251445;"PB";2682;1867;719;5998;31,1;12
"Sucupira Do Riachão";211195;"MA";2593;1858;680;5676;32,7;12
"Bonfim Do Piauí";220192;"PI";2456;1709;682;5685;30,1;12
"Frei Gaspar";312680;"MG";2437;1722;705;5869;29,3;12
"Sandovalina";354550;"SP";2358;1738;524;4354;39,9;12
"Rubelita";315650;"MG";2267;1574;693;5798;27,1;12
"Curralinhos";220325;"PI";2059;1498;537;4459;33,6;12
"Jundiá";270390;"AL";1753;1258;495;4137;30,4;12
"Vila Nova Do Piauí";221160;"PI";1569;1190;354;2952;40,3;12
"São José Do Bonfim";251460;"PB";1546;1052;429;3588;29,3;12
"São Luís";211130;"MA";780745;637187;132504;1108975;57,5;11,9
"São Bernardo Do Campo";354870;"SP";508749;379849;100530;844483;45;11,9
"Uberaba";317010;"MG";169424;128397;39977;337092;38,1;11,9
"Foz Do Iguaçu";410830;"PR";152949;116519;30675;258248;45,1;11,9
"Barueri";350570;"SP";149215;110800;32995;276982;40;11,9
"Franco Da Rocha";351640;"SP";87594;68359;18660;156492;43,7;11,9
"Toledo";412770;"PR";78010;59497;17018;142645;41,7;11,9
"Ribeirão Pires";354330;"SP";70662;55884;14753;124159;45;11,9
"Birigui";350650;"SP";68618;53525;14887;124883;42,9;11,9
"Cambé";410370;"PR";57235;43801;12753;107341;40,8;11,9
"Sapiranga";431990;"RS";44757;34948;9809;82249;42,5;11,9
"Ituiutaba";313420;"MG";35316;22764;12552;105255;21,6;11,9
"Mafra";421010;"SC";34000;25344;6758;56561;44,8;11,9
